"주가구분별(1)",주가구분별(2),주가구분별(3),2022.12,2022.12,2022.12,2023.01,2023.01,2023.01,2023.02,2023.02,2023.02,2023.03,2023.03,2023.03
"주가구분별(1)",주가구분별(2),주가구분별(3),원데이터,전월 대비 증감,증감률,원데이터,전월 대비 증감,증감률,원데이터,전월 대비 증감,증감률,원데이터,전월 대비 증감,증감률
"연월말",소계,소계,2236.4,-236.1,-9.6,2425.08,188.7,8.4,2412.85,-12.2,-0.5,2476.86,64,2.7
"등락폭",소계,소계,-236.13,-415.10,-232.0,188.68,424.80,179.9,-12.23,-200.90,-106.5,64.01,76.20,623.4
"등락률 (%)",소계,소계,-9.55,-17.40,-222.4,8.44,18.00,188.4,-0.50,-8.90,-105.9,2.65,3.20,630.0
"평균",소계,소계,2361.28,-56.3,-2.3,2362.36,1.1,0.0,2450.34,88,3.7,2417.56,-32.8,-1.3
"종가기준",최고,지수,2479.84,-3.30,-0.1,2484.02,4.20,0.2,2483.64,-0.40,0.0,2476.86,-6.80,-0.3
"종가기준",최고,월 (월),12,,,1,,,2,,,3,,
"종가기준",최고,일 (일),1,,,27,,,8,,,31,,
"종가기준",최저,지수,2236.40,-92.80,-4.0,2218.68,-17.70,-0.8,2402.64,184.00,8.3,2348.97,-53.70,-2.2
"종가기준",최저,월 (월),12,,,1,,,2,,,3,,
"종가기준",최저,일 (일),29,,,3,,,27,,,14,,
"장중기준",최고,지수,2501.43,2.00,0.1,2497.40,-4.00,-0.2,2487.35,-10.10,-0.4,2481.24,-6.10,-0.2
"장중기준",최고,월 (월),12,,,1,,,2,,,3,,
"장중기준",최고,일 (일),1,,,27,,,8,,,31,,
"장중기준",최저,지수,2236.38,-60.10,-2.6,2180.67,-55.70,-2.5,2383.76,203.10,9.3,2346.11,-37.70,-1.6
"장중기준",최저,월 (월),12,,,1,,,2,,,3,,
"장중기준",최저,일 (일),29,,,3,,,27,,,16,,
